row_id;substances;conc;external_rep;internal_rep;appl;day7
MAl11;MA;l;1;1;44;20
MAl12;MA;l;1;2;52;36
MAl21;MA;l;2;1;23;22
MAl22;MA;l;2;2;39;22
MAm11;MA;m;1;1;27;26
MAm12;MA;m;1;2;24;21
MAm21;MA;m;2;1;50;32
MAm22;MA;m;2;2;38;13
MAh11;MA;h;1;1;19;12
MAh12;MA;h;1;2;22;7
MAh21;MA;h;2;1;21;3
MAh22;MA;h;2;2;24;2
TAl11;TA;l;1;1;29;29
TAl12;TA;l;1;2;24;24
TAl21;TA;l;2;1;28;16
TAl22;TA;l;2;2;39;15
TAm11;TA;m;1;1;27;22
TAm12;TA;m;1;2;42;38
TAm21;TA;m;2;1;17;17
TAm22;TA;m;2;2;36;23
TAh11;TA;h;1;1;15;14
TAh12;TA;h;1;2;24;19
TAh21;TA;h;2;1;43;24
TAh22;TA;h;2;2;44;10
Cl11;C;l;1;1;23;13
Cl12;C;l;1;2;17;12
Cl21;C;l;2;1;30;18
Cl22;C;l;2;2;50;23
Cm11;C;m;1;1;28;9
Cm12;C;m;1;2;27;8
Cm21;C;m;2;1;19;5
Cm22;C;m;2;2;32;9
Ch11;C;h;1;1;24;1
Ch12;C;h;1;2;28;5
Ch21;C;h;2;1;26;0
Ch22;C;h;2;2;33;0
Rl11;R;l;1;1;36;30
Rl12;R;l;1;2;36;33
Rl21;R;l;2;1;30;23
Rl22;R;l;2;2;15;10
Rm11;R;m;1;1;24;15
Rm12;R;m;1;2;34;31
Rm21;R;m;2;1;16;6
Rm22;R;m;2;2;15;15
Rh11;R;h;1;1;23;22
Rh12;R;h;1;2;32;27
Rh21;R;h;2;1;21;8
Rh22;R;h;2;2;19;6
Hl11;H;l;1;1;36;30
Hl12;H;l;1;2;23;19
Hl21;H;l;2;1;37;21
Hl22;H;l;2;2;30;17
Hm11;H;m;1;1;23;6
Hm12;H;m;1;2;20;7
Hm21;H;m;2;1;44;4
Hm22;H;m;2;2;30;6
Hh11;H;h;1;1;25;0
Hh12;H;h;1;2;21;0
Hh21;H;h;2;1;44;3
Hh22;H;h;2;2;20;1
CTRL11;CTRL;m;1;1;34;21
CTRL12;CTRL;m;1;2;61;40
CTRL21;CTRL;m;2;1;24;24
CTRL22;CTRL;m;2;2;36;34
