exp,combination,pl,repl1,_,apply,day2,day7,usable,comment,repl2
TESL,MA1,le,1,0,18,5,11,0,Usage of wrongly sized parcells,1
TESL,MA1,le,2,0,20,7,13,0,Usage of wrongly sized parcells,1
TESL,MA10,le,1,0,25,5,15,0,Usage of wrongly sized parcells,1
TESL,MA10,le,2,0,18,4,15,0,Usage of wrongly sized parcells,1
TESL,MA30,le,1,0,21,2,8,0,Usage of wrongly sized parcells,1
TESL,MA30,le,2,0,22,3,9,0,Usage of wrongly sized parcells,1
TESL,MA50,le,1,0,19,3,5,0,Usage of wrongly sized parcells,1
TESL,MA50,le,2,0,21,1,6,0,Usage of wrongly sized parcells,1
TESL,CTRL,le,1,0,27,7,21,0,Usage of wrongly sized parcells,1
TESL,CTRL,le,2,0,23,8,17,0,Usage of wrongly sized parcells,1
MACL1,MA1,le,1,1,28,7,25,0,Too short time between day 0 and 1,1
MACL1,MA1,le,2,1,21,5,19,0,Too short time between day 0 and 1,1
MACL1,MA5,le,1,1,21,4,20,0,Too short time between day 0 and 1,1
MACL1,MA5,le,2,1,25,6,19,0,Too short time between day 0 and 1,1
MACL1,MA10,le,1,1,33,7,26,0,Too short time between day 0 and 1,1
MACL1,MA10,le,2,1,26,6,21,0,Too short time between day 0 and 1,1
MACL1,MA20,le,1,1,27,3,19,0,Too short time between day 0 and 1,1
MACL1,MA20,le,2,1,29,4,14,0,Too short time between day 0 and 1,1
MACL1,MA30,le,1,1,26,4,14,0,Too short time between day 0 and 1,1
MACL1,MA30,le,2,1,26,1,12,0,Too short time between day 0 and 1,1
MACL1,MA40,le,1,1,26,0,0,0,Too short time between day 0 and 1,1
MACL1,MA40,le,2,1,21,1,2,0,Too short time between day 0 and 1,1
MACL1,MA50,le,1,0,28,0,19,0,Too short time between day 0 and 1 wrong application,1
MACL1,MA50,le,2,0,29,4,16,0,Too short time between day 0 and 1 wrong application,1
MACL1,CTRL,le,1,1,22,5,22,0,Too short time between day 0 and 1,1
MACL1,CTRL,le,2,1,24,7,23,0,Too short time between day 0 and 1,1
MACL2,MA1,le,1,1,25,9,22,0,,2
MACL2,MA1,le,2,1,35,13,35,0,,2
MACL2,MA5,le,1,1,34,11,26,0,,2
MACL2,MA5,le,2,1,29,9,21,0,,2
MACL2,MA10,le,1,1,33,4,23,0,,2
MACL2,MA10,le,2,1,24,0,16,0,,2
MACL2,MA20,le,1,1,24,1,8,0,,2
MACL2,MA20,le,2,1,26,1,9,0,,2
MACL2,MA30,le,1,1,69,2,6,0,,2
MACL2,MA30,le,2,1,34,0,3,0,,2
MACL2,MA40,le,1,1,38,0,0,0,,2
MACL2,MA40,le,2,1,22,0,0,0,,2
MACL2,MA50,le,1,1,30,0,0,0,,2
MACL2,MA50,le,2,1,33,0,0,0,,2
MACL2,CTRL,le,1,1,21,4,19,0,,2
MACL2,CTRL,le,2,1,23,11,20,0,,2
MACL3,MA1,le,1,1,31,8,26,0,,3
MACL3,MA1,le,2,1,37,11,23,0,,3
MACL3,MA5,le,1,1,25,8,21,0,,3
MACL3,MA5,le,2,1,22,10,16,0,,3
MACL3,MA10,le,1,1,47,14,17,0,,3
MACL3,MA10,le,2,1,25,7,13,0,,3
MACL3,MA20,le,1,1,35,3,12,0,,3
MACL3,MA20,le,2,1,21,3,16,0,,3
MACL3,MA30,le,1,1,30,1,6,0,,3
MACL3,MA30,le,2,0,24,1,19,0,wrongly applied,3
MACL3,MA40,le,1,1,26,1,5,0,,3
MACL3,MA40,le,2,0,28,2,11,0,wrongly applied,3
MACL3,MA50,le,1,1,27,0,0,0,,3
MACL3,MA50,le,2,1,33,0,0,0,,3
MACL3,CTRL,le,1,1,23,5,13,0,,3
MACL3,CTRL,le,2,1,20,12,18,0,,3
DERL1,C100,le,1,1,19,0,3,0,Too short time between day 0 and 1,1
DERL1,C100,le,2,1,19,1,4,0,Too short time between day 0 and 1,1
DERL1,R100,le,1,1,20,0,1,0,Too short time between day 0 and 1,1
DERL1,R100,le,2,1,23,0,6,0,Too short time between day 0 and 1,1
DERL1,H100,le,1,1,21,0,8,0,Too short time between day 0 and 1,1
DERL1,H100,le,2,1,26,0,7,0,Too short time between day 0 and 1,1
DERL1,TA100,le,1,1,20,1,12,0,Too short time between day 0 and 1,1
DERL1,TA100,le,2,1,19,2,8,0,Too short time between day 0 and 1,1
DERL1,PCA100,le,1,1,20,3,18,0,Too short time between day 0 and 1,1
DERL1,PCA100,le,2,1,27,0,19,0,Too short time between day 0 and 1,1
DERL1,SC1,le,1,1,26,4,24,0,Too short time between day 0 and 1,1
DERL1,SC1,le,2,1,21,1,17,0,Too short time between day 0 and 1,1
DERL1,CA10,le,1,1,21,8,21,0,Too short time between day 0 and 1,1
DERL1,CA10,le,2,1,24,7,15,0,Too short time between day 0 and 1,1
DERL1,PA10,le,1,1,27,3,19,0,Too short time between day 0 and 1,1
DERL1,PA10,le,2,1,18,2,14,0,Too short time between day 0 and 1,1
DERL1,FA10,le,1,1,26,4,23,0,Too short time between day 0 and 1,1
DERL1,FA10,le,2,1,33,6,31,0,Too short time between day 0 and 1,1
DERL1,CTRL,le,1,1,23,4,19,0,Too short time between day 0 and 1,1
